        Time / s                E-Field (0 0 2)_1(X) [1]/real
          4.0203633e-009                     0.055896724
          4.0220371e-009                     0.067565296
          4.0237108e-009                     0.080436862
          4.0253846e-009                     0.093676181
          4.0270584e-009                      0.10644834
          4.0287321e-009                      0.11798181
          4.0304059e-009                      0.12761961
          4.0320796e-009                      0.13485502
          4.0337534e-009                      0.13934591
          4.0354271e-009                      0.14090812
          4.0371009e-009                      0.13949817
          4.0387747e-009                       0.1351934
          4.0404484e-009                      0.12816592
          4.0421222e-009                      0.11864736
          4.0437959e-009                      0.10689164
          4.0454697e-009                     0.093149618
          4.0471434e-009                     0.077658229
          4.0488172e-009                     0.060634364
          4.0504909e-009                     0.042268364
          4.0521647e-009                      0.02272551
          4.0538385e-009                    0.0021644655
          4.0555122e-009                    -0.019232206
           4.057186e-009                    -0.041228538
          4.0588597e-009                    -0.063514552
          4.0605335e-009                    -0.085694135
          4.0622072e-009                     -0.10728155
           4.063881e-009                     -0.12771167
          4.0655548e-009                     -0.14636823
          4.0672285e-009                     -0.16262669
          4.0689023e-009                     -0.17590665
           4.070576e-009                     -0.18572852
          4.0722498e-009                     -0.19176572
          4.0739235e-009                     -0.19388307
          4.0755973e-009                     -0.19215306
          4.0772711e-009                     -0.18684789
          4.0789448e-009                     -0.17840739
          4.0806186e-009                     -0.16738759
          4.0822923e-009                     -0.15439804
          4.0839661e-009                      -0.1400401
          4.0856398e-009                      -0.1248551
          4.0873136e-009                     -0.10928469
          4.0889874e-009                    -0.093650378
          4.0906611e-009                    -0.078161739
          4.0923349e-009                    -0.062955535
          4.0940086e-009                     -0.04814924
          4.0956824e-009                     -0.03388888
          4.0973561e-009                    -0.020382784
          4.0990299e-009                   -0.0079234781
          4.1007036e-009                     0.003105345
          4.1023774e-009                     0.012250999
          4.1040512e-009                     0.019046917
          4.1057249e-009                     0.023085609
          4.1073987e-009                     0.024089076
          4.1090724e-009                     0.021967546
          4.1107462e-009                     0.016863431
          4.1124199e-009                    0.0091715401
          4.1140937e-009                  -0.00047604967
          4.1157675e-009                    -0.011261087
          4.1174412e-009                    -0.022252731
           4.119115e-009                     -0.03249141
          4.1207887e-009                    -0.041076405
          4.1224625e-009                     -0.04724707
          4.1241362e-009                    -0.050442675
            4.12581e-009                    -0.050333027
          4.1274838e-009                     -0.04682427
          4.1291575e-009                    -0.040046649
          4.1308313e-009                    -0.030323716
           4.132505e-009                    -0.018122384
          4.1341788e-009                   -0.0039962266
          4.1358525e-009                     0.011461323
          4.1375263e-009                       0.0276503
             4.1392e-009                     0.043991528
          4.1408738e-009                      0.05995145
          4.1425476e-009                     0.075059935
          4.1442213e-009                     0.088917065
          4.1458951e-009                      0.10119446
          4.1475688e-009                      0.11163749
          4.1492426e-009                      0.12006726
          4.1509163e-009                      0.12637801
          4.1525901e-009                      0.13053045
          4.1542639e-009                      0.13254058
          4.1559376e-009                      0.13246008
          4.1576114e-009                      0.13035063
          4.1592851e-009                      0.12626104
          4.1609589e-009                      0.12021787
