        Time / s                signal1/real
          2.0691367e-010                      0.69411075
          2.0738825e-010                       0.6858514
          2.0786281e-010                      0.67755967
          2.0833739e-010                      0.66923869
          2.0881197e-010                      0.66089237
          2.0928653e-010                      0.65252429
          2.0976111e-010                      0.64413762
          2.1023568e-010                      0.63573623
          2.1071025e-010                      0.62732303
          2.1118482e-010                      0.61890185
           2.116594e-010                      0.61047566
          2.1213396e-010                      0.60204816
          2.1260854e-010                      0.59362215
          2.1308312e-010                      0.58520108
          2.1355769e-010                      0.57678831
          2.1403226e-010                       0.5683865
          2.1450683e-010                      0.55999923
          2.1498141e-010                      0.55162889
          2.1545597e-010                      0.54327905
          2.1593055e-010                      0.53495204
          2.1640512e-010                       0.5266512
          2.1687969e-010                      0.51837891
          2.1735427e-010                      0.51013798
          2.1782884e-010                      0.50193137
          2.1830342e-010                      0.49376124
          2.1877798e-010                      0.48563054
          2.1925256e-010                       0.4775413
          2.1972713e-010                      0.46949637
           2.202017e-010                      0.46149763
          2.2067628e-010                       0.4535476
          2.2115085e-010                       0.4456487
          2.2162543e-010                      0.43780258
          2.2209999e-010                      0.43001181
          2.2257457e-010                      0.42227793
          2.2304913e-010                      0.41460329
          2.2352371e-010                      0.40698934
          2.2399829e-010                      0.39943805
          2.2447286e-010                      0.39195144
          2.2494744e-010                      0.38453069
            2.25422e-010                       0.3771778
          2.2589658e-010                      0.36989388
          2.2637114e-010                      0.36268079
          2.2684572e-010                      0.35553953
          2.2732029e-010                      0.34847179
          2.2779487e-010                      0.34147841
          2.2826945e-010                      0.33456075
          2.2874401e-010                       0.3277202
          2.2921859e-010                       0.3209573
          2.2969315e-010                      0.31427348
          2.3016773e-010                      0.30766925
           2.306423e-010                      0.30114585
          2.3111688e-010                      0.29470366
          2.3159144e-010                      0.28834382
          2.3206602e-010                      0.28206655
           2.325406e-010                      0.27587268
          2.3301516e-010                      0.26976293
          2.3348973e-010                      0.26373753
          2.3396432e-010                      0.25779662
          2.3443888e-010                       0.2519412
          2.3491345e-010                      0.24617127
          2.3538804e-010                       0.2404867
          2.3586261e-010                      0.23488836
          2.3633717e-010                      0.22937606
          2.3681174e-010                      0.22394989
          2.3728633e-010                      0.21860956
          2.3776089e-010                      0.21335568
          2.3823546e-010                      0.20818786
          2.3871002e-010                        0.203106
          2.3918462e-010                      0.19810966
          2.3965918e-010                      0.19319919
          2.4013375e-010                      0.18837407
          2.4060834e-010                      0.18363371
           2.410829e-010                      0.17897837
          2.4155747e-010                      0.17440736
          2.4203203e-010                      0.16992028
          2.4250663e-010                      0.16551644
          2.4298119e-010                      0.16119584
          2.4345576e-010                      0.15695773
          2.4393035e-010                      0.15280131
          2.4440491e-010                      0.14872645
          2.4487948e-010                      0.14473233
          2.4535404e-010                      0.14081827
          2.4582864e-010                      0.13698339
           2.463032e-010                      0.13322745
          2.4677776e-010                      0.12954947
          2.4725236e-010                       0.1259485
          2.4772692e-010                      0.12242419
          2.4820149e-010                      0.11897552
          2.4867605e-010                      0.11560168
          2.4915064e-010                      0.11230164
          2.4962521e-010                      0.10907493
          2.5009977e-010                      0.10592048
          2.5057434e-010                      0.10283739
          2.5104893e-010                     0.099824607
           2.515235e-010                     0.096881539
          2.5199806e-010                     0.094007097
          2.5247265e-010                     0.091200158
          2.5294722e-010                     0.088460118
          2.5342178e-010                     0.085785829
          2.5389635e-010                      0.08317633
          2.5437094e-010                     0.080630489
          2.5484551e-010                     0.078147627
          2.5532007e-010                     0.075726599
          2.5579466e-010                     0.073366269
          2.5626923e-010                     0.071065925
          2.5674379e-010                      0.06882441
          2.5721836e-010                     0.066640735
          2.5769295e-010                     0.064513758
          2.5816752e-010                     0.062442731
          2.5864208e-010                     0.060426522
          2.5911667e-010                     0.058464013
          2.5959124e-010                     0.056554433
           2.600658e-010                      0.05469666
          2.6054037e-010                     0.052889701
          2.6101496e-010                     0.051132463
          2.6148952e-010                     0.049424164
          2.6196409e-010                     0.047763716
          2.6243868e-010                     0.046150047
          2.6291325e-010                     0.044582378
          2.6338781e-010                     0.043059643
          2.6386238e-010                     0.041580893
          2.6433697e-010                     0.040145092
          2.6481153e-010                     0.038751464
           2.652861e-010                     0.037398998
          2.6576069e-010                      0.03608669
          2.6623526e-010                     0.034813777
          2.6670982e-010                     0.033579282
          2.6718439e-010                     0.032382313
          2.6765898e-010                     0.031221913
          2.6813354e-010                     0.030097349
          2.6860811e-010                      0.02900769
          2.6908267e-010                     0.027952082
          2.6955727e-010                     0.026929632
          2.7003183e-010                     0.025939628
           2.705064e-010                     0.024981197
          2.7098099e-010                      0.02405348
          2.7145555e-010                     0.023155795
          2.7193012e-010                     0.022287311
          2.7240468e-010                     0.021447258
          2.7287927e-010                     0.020634836
          2.7335384e-010                     0.019849401
           2.738284e-010                     0.019090177
            2.74303e-010                     0.018356407
          2.7477756e-010                     0.017647473
          2.7525213e-010                     0.016962644
          2.7572669e-010                     0.016301241
          2.7620128e-010                     0.015662568
          2.7667585e-010                     0.015046048
          2.7715041e-010                     0.014451005
          2.7762501e-010                     0.013876782
          2.7809957e-010                     0.013322836
          2.7857414e-010                     0.012788533
           2.790487e-010                     0.012273288
          2.7952329e-010                     0.011776501
          2.7999786e-010                     0.011297667
          2.8047242e-010                     0.010836211
          2.8094699e-010                     0.010391597
          2.8142158e-010                    0.0099632759
          2.8189615e-010                    0.0095507903
          2.8237071e-010                    0.0091536129
           2.828453e-010                    0.0087712379
          2.8331987e-010                    0.0084032342
          2.8379443e-010                    0.0080491165
            2.84269e-010                    0.0077084326
          2.8474359e-010                    0.0073807244
          2.8521815e-010                    0.0070656021
          2.8569272e-010                     0.006762628
          2.8616731e-010                    0.0064713797
          2.8664188e-010                    0.0061914949
          2.8711644e-010                    0.0059225713
          2.8759101e-010                    0.0056642345
           2.880656e-010                    0.0054161064
          2.8854016e-010                    0.0051778611
          2.8901473e-010                    0.0049491408
          2.8948932e-010                    0.0047295974
          2.8996389e-010                    0.0045189327
          2.9043845e-010                     0.004316818
          2.9091302e-010                    0.0041229469
          2.9138761e-010                    0.0039370116
          2.9186217e-010                     0.003758746
          2.9233674e-010                    0.0035878594
          2.9281133e-010                    0.0034240717
           2.932859e-010                     0.003267139
          2.9376046e-010                     0.003116797
          2.9423503e-010                    0.0029727991
          2.9470962e-010                    0.0028348987
          2.9518418e-010                    0.0027028809
          2.9565875e-010                    0.0025765134
          2.9613334e-010                    0.0024555731
           2.966079e-010                    0.0023398641
          2.9708247e-010                    0.0022291774
          2.9755703e-010                    0.0021233165
          2.9803163e-010                    0.0020220866
          2.9850619e-010                    0.0019253166
          2.9898076e-010                    0.0018328239
          2.9945532e-010                    0.0017444376
          2.9992991e-010                    0.0016599884
          3.0040448e-010                     0.001579327
          3.0087904e-010                     0.001502295
          3.0135364e-010                    0.0014287402
           3.018282e-010                    0.0013585285
          3.0230277e-010                    0.0012915178
          3.0277733e-010                    0.0012275754
          3.0325192e-010                      0.00116657
          3.0372649e-010                    0.0011083856
          3.0420105e-010                       0.0010529
          3.0467565e-010                   0.00099999574
          3.0515021e-010                    0.0009495694
          3.0562478e-010                    0.0009015117
          3.0609934e-010                   0.00085572107
          3.0657393e-010                   0.00081209693
           3.070485e-010                   0.00077055034
          3.0752306e-010                    0.0007309881
          3.0799766e-010                   0.00069332105
          3.0847222e-010                   0.00065747008
          3.0894678e-010                   0.00062335253
          3.0942135e-010                   0.00059089134
          3.0989594e-010                   0.00056001067
          3.1037051e-010                   0.00053064304
          3.1084507e-010                   0.00050271844
          3.1131964e-010                   0.00047617144
          3.1179423e-010                   0.00045093775
          3.1226879e-010                   0.00042696021
          3.1274336e-010                   0.00040417956
          3.1321795e-010                   0.00038253929
          3.1369252e-010                   0.00036198893
          3.1416708e-010                   0.00034247644
          3.1464165e-010                   0.00032395319
          3.1511624e-010                   0.00030637163
           3.155908e-010                   0.00028968928
          3.1606537e-010                   0.00027386242
          3.1653996e-010                   0.00025884941
          3.1701453e-010                   0.00024461295
          3.1748909e-010                    0.0002311149
          3.1796366e-010                   0.00021831952
          3.1843825e-010                   0.00020619202
          3.1891281e-010                   0.00019470126
          3.1938738e-010                   0.00018381538
          3.1986197e-010                   0.00017350404
          3.2033654e-010                   0.00016374007
           3.208111e-010                   0.00015449573
          3.2128566e-010                   0.00014574517
          3.2176026e-010                   0.00013746323
          3.2223482e-010                   0.00012962731
          3.2270939e-010                   0.00012221446
          3.2318398e-010                   0.00011520289
          3.2365854e-010                     0.000108573
          3.2413311e-010                   0.00010230489
          3.2460767e-010                  9.6380048e-005
          3.2508227e-010                  9.0780486e-005
          3.2555683e-010                  8.5490043e-005
           3.260314e-010                  8.0492369e-005
          3.2650599e-010                  7.5771961e-005
          3.2698055e-010                  7.1314855e-005
          3.2745512e-010                  6.7106972e-005
          3.2792968e-010                   6.313518e-005
          3.2840428e-010                  5.9386788e-005
          3.2887884e-010                  5.5850353e-005
          3.2935341e-010                   5.251437e-005
          3.2982797e-010                  4.9368118e-005
          3.3030256e-010                  4.6401234e-005
          3.3077713e-010                  4.3604392e-005
          3.3125169e-010                  4.0968218e-005
          3.3172629e-010                  3.8483849e-005
          3.3220085e-010                  3.6143287e-005
          3.3267541e-010                  3.3938526e-005
          3.3314998e-010                  3.1862102e-005
          3.3362457e-010                  2.9906832e-005
          3.3409914e-010                  2.8066235e-005
           3.345737e-010                  2.6333833e-005
          3.3504829e-010                    2.47035e-005
          3.3552286e-010                  2.3169716e-005
          3.3599742e-010                  2.1726966e-005
          3.3647199e-010                   2.037012e-005
          3.3694658e-010                   1.909425e-005
          3.3742115e-010                  1.7894907e-005
          3.3789571e-010                  1.6767657e-005
           3.383703e-010                  1.5708325e-005
          3.3884487e-010                  1.4713132e-005
          3.3931943e-010                  1.3778329e-005
            3.39794e-010                  1.2900428e-005
          3.4026859e-010                  1.2076085e-005
          3.4074316e-010                   1.130228e-005
          3.4121772e-010                  1.0576015e-005
          3.4169229e-010                  9.8945093e-006
          3.4216688e-010                  9.2550954e-006
          3.4264144e-010                  8.6553646e-006
          3.4311601e-010                   8.092934e-006
           3.435906e-010                  7.5655598e-006
          3.4406517e-010                  7.0712144e-006
          3.4453973e-010                  6.6078942e-006
          3.4501429e-010                  6.1737396e-006
          3.4548889e-010                   5.766974e-006
          3.4596345e-010                  5.3859899e-006
          3.4643802e-010                  5.0292033e-006
          3.4691261e-010                  4.6951268e-006
          3.4738717e-010                   4.382413e-006
          3.4786174e-010                  4.0897376e-006
           3.483363e-010                  3.8158714e-006
           3.488109e-010                  3.5596427e-006
          3.4928546e-010                  3.3199917e-006
          3.4976003e-010                  3.0958774e-006
          3.5023462e-010                  2.8863226e-006
          3.5070918e-010                  2.6904438e-006
          3.5118375e-010                  2.5073741e-006
          3.5165831e-010                  2.3363102e-006
          3.5213291e-010                  2.1764877e-006
          3.5260747e-010                  2.0272153e-006
          3.5308204e-010                   1.887816e-006
          3.5355663e-010                  1.7576557e-006
          3.5403119e-010                  1.6361605e-006
          3.5450576e-010                  1.5227695e-006
          3.5498032e-010                  1.4169632e-006
          3.5545492e-010                  1.3182486e-006

